167,15;168,244;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
167,006;168,256;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
163,481;168,259;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
167,074;168,243;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
163,156;168,238;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
161,678;168,256;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
161,265;168,238;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
161,92;168,238;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
166,844;168,243;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
166,876;168,23;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
168,109;168,224;inputSlaveNetwork=1 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
167,962;168,224;inputSlaveNetwork=1 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
168,303;168,218;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
168,294;168,217;inputSlaveNetwork=20 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
168,268;168,229;inputSlaveNetwork=1 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
168,342;168,231;inputSlaveNetwork=1 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
168,117;168,233;inputSlaveNetwork=1 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
168,258;168,243;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
168,121;168,246;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
168,141;168,26;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
168,291;168,249;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
168,821;168,208;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
169,325;168,208;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
170,659;168,223;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
170,524;168,221;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
170,62;168,214;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
170,631;168,239;inputSlaveNetwork=1 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
